Image Generator,Classifier,Type,Sample Size (n),Pearson Correlation (r),95% Confidence Interval,P-value,Bayes Factor,Statistical Power
sd,ibombSwin,madeup,38,0.47279829892937997,[0.18 0.69],0.0027215507953822064,15.291,0.8671928779423916
sd,ibombSwin,real,40,0.6485340964978732,[0.42 0.8 ],6.025641404912985e-06,3810.722,0.997346682246012
sd,ibombSwin,talking,41,0.6383793323512847,[0.41 0.79],7.100465634118201e-06,3265.032,0.9969537544892787
sd,ibombVit,madeup,38,0.3017734848467212,[-0.02  0.57],0.06557691060674428,1.035,0.4615553912061948
sd,ibombVit,real,40,0.6346778369086401,[0.4  0.79],1.0909727328710395e-05,2207.12,0.9958967411931419
sd,ibombVit,talking,41,0.5165713631769551,[0.25 0.71],0.0005448937139935361,62.421,0.9452527540782558
sd,nateraw,madeup,38,0.2557993320598446,[-0.07  0.53],0.12111869690425467,0.643,0.3465041529663022
sd,nateraw,real,40,0.6471347041333986,[0.42 0.8 ],6.4065802572604225e-06,3601.564,0.9972231353353462
sd,nateraw,talking,41,0.5980580197010147,[0.36 0.76],3.637144050428623e-05,728.324,0.9902810524442075
vqgan,ibombSwin,madeup,38,0.4470971989715044,[0.15 0.67],0.004889581148069382,9.157,0.8207667626296609
vqgan,ibombSwin,real,40,0.43829604759497925,[0.15 0.66],0.004672181322336548,9.354,0.8239429348713742
vqgan,ibombSwin,talking,41,0.14719017385114047,[-0.17  0.44],0.3584376965959215,0.292,0.15159061310241329
vqgan,ibombVit,madeup,38,0.4786630410431177,[0.19 0.69],0.0023658377774292893,17.297,0.8766769343653348
vqgan,ibombVit,real,40,0.47256101091184755,[0.19 0.68],0.0020767156906701455,19.077,0.8841913166712286
vqgan,ibombVit,talking,41,0.10393180456992959,[-0.21  0.4 ],0.5178502850745025,0.238,0.09919342066245007
vqgan,nateraw,madeup,38,0.5863528694172303,[0.33 0.76],0.00010951420807370298,271.125,0.9802783407798297
vqgan,nateraw,real,40,0.4336930618287504,[0.14 0.66],0.005177986394963554,8.552,0.8147580317009595
vqgan,nateraw,talking,41,0.21800490360779126,[-0.1   0.49],0.17091237211861238,0.481,0.28115013589805643
